policy,experiment_id,seed,filter_best_loss,real_best_loss,regret,rank_pct,num_runs,num_prunings,total_epochs,epochs_avoided,total_train_time,saved_time_A,saved_time_B,n_decisions,false_continues,false_prunes,llm_calls,input_tokens,output_tokens,total_latency_s,mean_confidence,saved_pct_A,saved_pct_B,found_best
llm:gemma3:27b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,12,8,344,222,15276.620302200317,8389.021149711565,8374.721462511601,27,0,1,249,100388,1408,479.5184542997158,1.0,0.5491411702170329,0.548205119774128,True
llm:gemma3:27b:L2,HSF15_cooler_fcn,1,0.03407529089564819,0.019355639705735044,0.014719651189913145,0.18181818181818182,12,9,346,218,15713.402077674866,9250.456812979543,9234.109558479575,25,4,0,243,97935,1369,456.91211259999545,1.0,0.5886985369083323,0.5876581985768138,False
llm:gemma3:27b:L2,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,9,431,282,15091.831056594849,7895.304980729535,7879.169927229496,18,0,0,300,121026,1691,566.5214105002524,1.0,0.523150898729378,0.5220817737544475,True
llm:gemma3:27b:L2,HSF15_cooler_mscnn,1,0.015540962326052283,0.015540962326052283,0.0,0.0,12,7,478,134,11086.366675376892,3640.659334530241,3627.699963830297,162,5,14,296,119363,1582,552.0977081999881,1.0,0.32839066586316684,0.3272217192569963,True
llm:gemma3:27b:L2,HSF15_cooler_rnn,0,0.001239838544279325,0.001239838544279325,0.0,0.0,12,9,392,223,11170.767069339752,6466.520118443171,6450.411966243227,18,0,0,241,97139,1441,453.21548920011264,1.0,0.5788787894603709,0.5774367978674967,True
llm:gemma3:27b:L2,HSF15_cooler_rnn,1,0.6560556001622333,0.001239838544279325,0.654815761617954,0.7272727272727273,12,8,268,102,8857.520893573761,4372.713669174051,4357.775184174088,90,14,23,192,77320,1050,357.47160670001176,1.0,0.4936724080827749,0.4919858769213525,False
llm:gemma3:27b:L2,HSF15_cooler_transformer,0,0.014471546856203162,0.0002979373061909035,0.014173609550012258,0.09090909090909091,12,7,204,66,3565.6895458698273,619.2999924177395,606.5961749177343,70,5,8,136,54703,747,247.1630404999305,1.0,0.17368309395726297,0.1701202999067489,False
llm:gemma3:27b:L2,HSF15_cooler_transformer,1,0.011643471564616648,0.0013228064488962916,0.010320665115720357,0.2727272727272727,12,7,341,181,4180.627424955368,2627.062078148086,2614.45763294808,73,24,7,254,102376,1402,472.5743684998306,1.0,0.6283894284543025,0.6253744634935967,False
random,HSF15_cooler_fcn,0,0.020620204193717448,0.0065373283659619745,0.014082875827755473,0.18181818181818182,12,6,346,152,14687.385870218277,6379.539548794424,6379.539548794424,99,87,6,0,0,0,0.0,1.0,0.4343550040262961,0.4343550040262961,False
random,HSF15_cooler_fcn,1,0.03407529089564819,0.024294771211850006,0.009780519683798183,0.09090909090909091,12,4,357,133,15251.890402555466,5904.584790460521,5904.584790460521,121,111,0,0,0,0,0.0,1.0,0.3871378979664844,0.3871378979664844,False
random,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,5,452,142,15074.175142765045,2892.7886536386472,2892.7886536386472,179,167,0,0,0,0,0.0,1.0,0.1919036117227987,0.1919036117227987,True
random,HSF15_cooler_mscnn,1,0.015540962326052283,0.015540962326052283,0.0,0.0,12,4,478,91,11086.366675376892,2036.3697879718186,2036.3697879718186,205,23,3,0,0,0,0.0,1.0,0.18368234134765257,0.18368234134765257,True
random,HSF15_cooler_rnn,0,0.001239838544279325,0.001239838544279325,0.0,0.0,12,6,392,129,11170.767069339752,5015.313278752637,5015.313278752637,112,97,0,0,0,0,0.0,1.0,0.44896767138920096,0.44896767138920096,True
random,HSF15_cooler_rnn,1,0.10818979863560674,0.001239838544279325,0.10694996009132741,0.18181818181818182,12,4,295,100,7313.673882007599,3868.2790040228424,3868.2790040228424,119,51,7,0,0,0,0.0,1.0,0.5289105128872662,0.5289105128872662,False
random,HSF15_cooler_transformer,0,0.014471546856203162,0.0002979373061909035,0.014173609550012258,0.09090909090909091,12,6,204,74,3565.6895458698273,649.6805796009355,649.6805796009355,62,4,3,0,0,0,0.0,1.0,0.1822033497990499,0.1822033497990499,False
random,HSF15_cooler_transformer,1,0.0013228064488962916,0.0013228064488962916,0.0,0.0,12,4,341,120,4365.49169421196,2096.6276419263354,2096.6276419263354,134,63,1,0,0,0,0.0,1.0,0.48027296551867793,0.48027296551867793,True
last-seen,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,12,8,344,222,15276.620302200317,8389.021149711565,8389.021149711565,27,0,1,0,0,0,0.0,1.0,0.5491411702170329,0.5491411702170329,True
last-seen,HSF15_cooler_fcn,1,0.03407529089564819,0.019355639705735044,0.014719651189913145,0.18181818181818182,12,9,346,225,15713.402077674866,9519.634197166557,9519.634197166557,18,0,1,0,0,0,0.0,1.0,0.6058289700797366,0.6058289700797366,False
last-seen,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,9,431,282,15091.831056594849,7895.304980729535,7895.304980729535,18,0,0,0,0,0,0.0,1.0,0.523150898729378,0.523150898729378,True
last-seen,HSF15_cooler_mscnn,1,0.06752985854213234,0.015540962326052283,0.051988896216080056,0.2727272727272727,12,6,479,205,9425.27711558342,3768.649793807622,3768.649793807622,92,21,4,0,0,0,0.0,1.0,0.39984498573274513,0.39984498573274513,False
